serving_size,serving_count,calories,calories_pdv,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carbohydrate,dietary_fiber,total_sugars,added_sugars,protein,vitamin_d,vitamin_a,vitamin_c,calcium,iron,potassium,total_fat_pdv,saturated_fat_pdv,trans_fat_pdv,cholesterol_pdv,sodium_pdv,total_carbohydrate_pdv,dietary_fiber_pdv,total_sugars_pdv,added_sugars_pdv,protein_pdv,vitamin_d_pdv,vitamin_a_pdv,vitamin_c_pdv,calcium_pdv,iron_pdv,potassium_pdv,item_id
99 g,,120.0,,7 g,3 g,0 g,0 mg,180 mg,14 g,0 g,0 g,,1 g,0.0 µg,0.01 µg,0.0 mg,102.1 mg,4.48 mg,21.3 mg,9,14,,0,8,5,2,1,,2,0,0,0,8,25,0,4126
148 g,,90.0,,3.5 g,0.5 g,0 g,0 mg,240 mg,13 g,4 g,4 g,,3 g,0.16 µg,23.92 µg,17.01 mg,36.76 mg,1.04 mg,354.79 mg,5,3,,0,10,5,13,7,,6,1,3,19,3,6,8,4125
140 g,,300.0,,22 g,7 g,0 g,170 mg,980 mg,3 g,0 g,1 g,,21 g,0.28 µg,84.22 µg,20.09 mg,67.69 mg,0.56 mg,258.99 mg,28,33,,57,43,1,2,2,,42,1,9,22,5,3,6,4124
,,480.0,,26 g,8 g,0 g,130 mg,600 mg,24 g,2 g,0 g,,35 g,0.35 µg,82.71 µg,4.79 mg,38.35 mg,3.2 mg,416.13 mg,34,38,,43,26,9,6,0,,71,2,9,5,3,18,9,4184
102 g,,150.0,,10 g,6 g,0 g,25 mg,75 mg,12 g,0 g,0 g,,4 g,0.07 µg,84.39 µg,1.68 mg,85.3 mg,0.46 mg,35.12 mg,12,28,,9,3,4,3,0,,8,0,9,2,7,3,1,4127
4.73 ea (134 g),,480.0,,18 g,7 g,0 g,35 mg,300 mg,74 g,2 g,37 g,,9 g,0.27 µg,81.99 µg,2.53 mg,56.13 mg,2.41 mg,205.98 mg,23,35,,12,13,27,8,73,,18,1,9,3,4,13,4,4387
117 g,,90.0,,0 g,0 g,0 g,0 mg,5 mg,20 g,2 g,0 g,,2 g,0.0 µg,0.0 µg,23.05 mg,14.04 mg,0.95 mg,497.25 mg,0,0,,0,0,7,9,2,,5,0,0,26,1,5,11,4388
,,110.0,,2 g,0 g,0 g,0 mg,5 mg,19 g,3 g,0 g,,5 g,0.0 µg,0.0 µg,0.0 mg,20.78 mg,1.34 mg,123.44 mg,3,2,,0,0,7,11,0,,10,0,0,0,2,7,3,4415
2.83 ea (80 g),,160.0,,10 g,1 g,0 g,0 mg,45 mg,16 g,2 g,4 g,,2 g,0.0 µg,16.9 µg,5.97 mg,23.1 mg,0.71 mg,132.42 mg,13,6,,0,2,6,7,8,,4,0,2,7,2,4,3,4375
112 g,,190.0,,13 g,2 g,0 g,0 mg,270 mg,11 g,2 g,1 g,,7 g,0.0 µg,12.32 µg,18.19 mg,210.17 mg,0.6 mg,50.47 mg,17,10,,0,12,4,6,2,,13,0,1,20,16,3,1,4378
164 g,,360.0,,23 g,8 g,0 g,85 mg,115 mg,3 g,1 g,1 g,,34 g,0.25 µg,21.57 µg,21.65 mg,19.75 mg,4.59 mg,511.79 mg,29,38,,28,5,1,4,2,,68,1,2,24,2,26,11,4377
119 g,,120.0,,3.5 g,0.5 g,0 g,0 mg,40 mg,20 g,2 g,0 g,,2 g,0.0 µg,5.07 µg,23.93 mg,15.49 mg,1.01 mg,489.22 mg,5,3,,0,2,7,9,2,,5,0,1,27,1,6,10,4389
1 ea (170 g),,0.0,,0 g,0 g,0 g,0 mg,0 mg,0 g,0 g,0 g,,0 g,0.0 µg,0.0 µg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,4376
176 g,,280.0,,6 g,1 g,0 g,0 mg,370 mg,54 g,4 g,27 g,,6 g,0.0 µg,1.64 µg,2.46 mg,82.51 mg,2.13 mg,131.84 mg,8,6,,0,16,19,13,54,,12,0,0,3,6,12,3,4390
105 g,,140.0,,5 g,0.5 g,0 g,0 mg,25 mg,22 g,2 g,0 g,,3 g,0.0 µg,0.6 µg,18.06 mg,11.13 mg,0.77 mg,386.39 mg,6,3,,0,1,8,8,2,,6,0,0,20,1,4,8,4391
,,80.0,,2.5 g,0 g,0 g,0 mg,90 mg,14 g,4 g,8 g,,1 g,0.0 µg,1041.58 µg,7.37 mg,41.63 mg,0.4 mg,401.29 mg,3,2,,0,4,5,13,16,,2,0,116,8,3,2,9,4401
,,110.0,,0 g,0 g,0 g,0 mg,10 mg,21 g,0 g,0 g,,4 g,0.0 µg,0.0 µg,0.0 mg,6.81 mg,0.93 mg,63.5 mg,1,0,,0,0,8,3,2,,7,0,0,0,1,5,1,4393
,,150.0,,16 g,2 g,0 g,0 mg,55 mg,0 g,0 g,0 g,,0 g,0.0 µg,28.07 µg,2.33 mg,21.38 mg,0.45 mg,36.85 mg,21,11,,0,2,0,1,0,,1,0,3,3,2,3,1,4395
,,370.0,,19 g,1.5 g,0 g,30 mg,310 mg,47 g,2 g,26 g,,4 g,0.2 µg,14.72 µg,1.71 mg,41.29 mg,1.55 mg,92.02 mg,24,8,,10,14,17,6,52,,8,1,2,2,3,9,2,4404
56 g,,180.0,,2.5 g,1 g,0 g,10 mg,280 mg,33 g,0 g,0 g,,0 g,0.0 µg,0.0 µg,0.0 mg,0.0 mg,0.0 mg,0.0 mg,3,5,,3,12,12,4,0,,0,0,0,0,0,0,0,4403
,,120.0,,3.5 g,0 g,0 g,0 mg,40 mg,22 g,5 g,13 g,,4 g,0.0 µg,43.98 µg,96.59 mg,51.59 mg,1.7 mg,452.45 mg,4,2,,0,2,8,18,26,,8,0,5,107,4,9,10,4402
,,280.0,,21 g,3 g,0 g,0 mg,30 mg,21 g,2 g,0 g,,2 g,0.0 µg,4.85 µg,7.97 mg,17.77 mg,1.19 mg,483.13 mg,27,15,,0,1,8,6,1,,5,0,1,9,1,7,10,4400
,,250.0,,14 g,3.5 g,0 g,30 mg,220 mg,26 g,4 g,4 g,,7 g,0.0 µg,319.02 µg,13.71 mg,185.5 mg,2.1 mg,251.26 mg,18,19,,10,10,9,13,7,,13,0,35,15,14,12,5,4398
,,810.0,,33 g,8 g,0 g,350 mg,390 mg,9 g,0 g,8 g,,113 g,0.41 µg,64.38 µg,1.18 mg,71.59 mg,5.0 mg,1092.93 mg,42,43,,116,17,3,1,16,,227,2,7,1,6,28,23,4396
67 g,,35.0,,2 g,1 g,0 g,4 mg,30 mg,4 g,0 g,0 g,,0 g,0.0 µg,33.88 µg,0.6 mg,5.0 mg,0.07 mg,27.75 mg,3,5,,1,1,1,1,1,,1,0,4,1,0,0,1,4392
,,90.0,,8 g,1 g,0 g,0 mg,170 mg,5 g,2 g,3 g,,1 g,0.0 µg,38.68 µg,15.8 mg,39.86 mg,0.74 mg,251.01 mg,10,5,,0,7,2,8,6,,2,0,4,18,3,4,5,4394
,,250.0,,6 g,1 g,0 g,0 mg,45 mg,47 g,5 g,17 g,,5 g,0.0 µg,40.98 µg,25.98 mg,127.72 mg,2.49 mg,972.4 mg,8,5,,0,2,17,19,34,,10,0,5,29,10,14,21,4397
,,770.0,,41 g,23 g,0 g,255 mg,490 mg,77 g,2 g,47 g,,20 g,1.64 µg,491.69 µg,5.98 mg,268.99 mg,8.62 mg,552.73 mg,53,116,,84,21,28,7,94,,39,8,55,7,21,48,12,4399
85 g,,60.0,,0 g,0 g,0 g,0 mg,0 mg,13 g,2 g,1 g,,2 g,0.0 µg,9.26 µg,25.09 mg,10.46 mg,0.63 mg,326.36 mg,0,0,,0,0,5,6,2,,3,0,1,28,1,4,7,4408
276 g,,230.0,,12 g,1.5 g,0 g,0 mg,1890 mg,22 g,9 g,3 g,,16 g,0.0 µg,120.36 µg,18.88 mg,56.06 mg,1.38 mg,352.78 mg,16,7,,0,82,8,33,6,,32,0,13,21,4,8,8,4405
380 g,,520.0,,20 g,2.5 g,0 g,0 mg,520 mg,78 g,17 g,8 g,,18 g,0.0 µg,635.55 µg,46.66 mg,191.06 mg,4.07 mg,790.97 mg,25,13,,0,22,29,59,16,,36,0,71,52,15,23,17,4407
94 g,,40.0,,2.5 g,0 g,0 g,0 mg,5 mg,3 g,0 g,2 g,,3 g,0.18 µg,0.82 µg,2.23 mg,4.12 mg,0.5 mg,292.04 mg,3,2,,0,0,1,3,4,,6,1,0,2,0,3,6,4406
165 g,,180.0,,2 g,0 g,0 g,0 mg,150 mg,33 g,8 g,6 g,,10 g,0.0 µg,161.82 µg,72.9 mg,83.7 mg,3.15 mg,687.79 mg,2,1,,0,7,12,27,12,,20,0,18,81,6,18,15,4410
149 g,,210.0,,8 g,1.5 g,0 g,60 mg,240 mg,9 g,0 g,7 g,,23 g,0.0 µg,20.9 µg,5.19 mg,18.65 mg,1.1 mg,612.67 mg,11,6,,21,10,3,2,14,,46,0,2,6,1,6,13,4409
119 g,,70.0,,5 g,0.5 g,0 g,0 mg,30 mg,7 g,3 g,4 g,,1 g,0.0 µg,1.19 µg,2.5 mg,11.11 mg,0.31 mg,262.31 mg,6,3,,0,1,2,12,8,,2,0,0,3,1,2,6,4411
73 g,,90.0,,7 g,1 g,0 g,0 mg,40 mg,8 g,2 g,3 g,,2 g,0.0 µg,8.71 µg,25.81 mg,53.84 mg,1.26 mg,219.85 mg,9,4,,0,2,3,9,6,,5,0,1,29,4,7,5,4416
85 g,,120.0,,7 g,1 g,0 g,0 mg,450 mg,13 g,2 g,0 g,,2 g,0.0 µg,3.18 µg,15.9 mg,10.18 mg,0.7 mg,325.56 mg,9,5,,0,19,5,6,1,,3,0,0,18,1,4,7,4413
365 g,,380.0,,27 g,8 g,0 g,0 mg,270 mg,31 g,5 g,2 g,,5 g,0.0 µg,40.66 µg,30.26 mg,94.43 mg,2.96 mg,509.32 mg,35,39,,0,12,11,19,3,,9,0,5,34,7,16,11,4412
255 g,,300.0,,16 g,2 g,0 g,0 mg,1220 mg,29 g,11 g,2 g,,19 g,0.0 µg,18.51 µg,3.37 mg,96.01 mg,2.96 mg,487.2 mg,21,10,,0,53,10,41,5,,38,0,2,4,7,16,10,4414
,,280.0,,21 g,4 g,0 g,0 mg,320 mg,19 g,2 g,1 g,,0 g,0.0 µg,0.0 µg,0.0 mg,0.14 mg,0.44 mg,260.29 mg,27,20,,0,14,7,7,2,,0,0,0,0,0,2,6,4417
265 g,,630.0,,27 g,17 g,0 g,105 mg,300 mg,84 g,3 g,43 g,,15 g,0.0 µg,173.15 µg,3.76 mg,45.5 mg,1.64 mg,280.69 mg,35,84,,35,13,30,10,85,,31,0,19,4,4,9,6,4015
,,120.0,,3.5 g,0.5 g,0 g,0 mg,40 mg,20 g,2 g,0 g,,2 g,0.0 µg,0.01 µg,22.34 mg,13.84 mg,0.94 mg,482.57 mg,4,3,,0,2,7,9,2,,5,0,0,25,1,5,10,4439
136 g,,130.0,,5 g,3.5 g,0 g,15 mg,95 mg,18 g,2 g,3 g,,3 g,0.0 µg,54.75 µg,20.73 mg,57.72 mg,0.87 mg,453.8 mg,7,16,,5,4,6,7,5,,6,0,6,23,4,5,10,4438
,,170.0,,8 g,1 g,0 g,0 mg,510 mg,23 g,9 g,9 g,,9 g,0.0 µg,101.82 µg,151.23 mg,91.04 mg,1.84 mg,636.07 mg,10,5,,0,22,8,34,18,,18,0,11,168,7,10,14,4437
,,130.0,,2.5 g,1.5 g,0 g,10 mg,25 mg,22 g,2 g,17 g,,6 g,0.0 µg,28.05 µg,50.2 mg,52.46 mg,0.44 mg,264.81 mg,3,8,,3,1,8,6,34,,11,0,3,56,4,2,6,4444
,,110.0,,2 g,0 g,0 g,0 mg,65 mg,20 g,2 g,2 g,,4 g,0.0 µg,4.81 µg,20.53 mg,52.05 mg,1.05 mg,483.65 mg,2,2,,0,3,7,9,4,,8,0,1,23,4,6,10,4443
269 g,,620.0,,39 g,15 g,0 g,125 mg,620 mg,36 g,3 g,5 g,,31 g,0.24 µg,57.57 µg,8.53 mg,168.88 mg,3.93 mg,585.34 mg,50,73,,42,27,13,9,10,,62,1,6,9,13,22,12,4347
,,100.0,,0 g,0 g,0 g,0 mg,10 mg,21 g,0 g,0 g,,4 g,0.0 µg,0.0 µg,0.0 mg,6.69 mg,0.92 mg,62.39 mg,1,0,,0,0,8,3,1,,7,0,0,0,1,5,1,4441
2.01 ea (57 g),,100.0,,0.5 g,0 g,0 g,0 mg,10 mg,22 g,0 g,0 g,,2 g,0.0 µg,0.0 µg,0.0 mg,0.85 mg,0.0 mg,0.29 mg,1,1,,0,0,8,2,0,,4,0,0,0,0,0,0,4442
175 g,,80.0,,4 g,0.5 g,0 g,0 mg,140 mg,5 g,1 g,1 g,,8 g,0.0 µg,0.16 µg,0.21 mg,176.4 mg,1.66 mg,152.6 mg,5,4,,0,6,2,4,2,,16,0,0,0,14,9,3,4440
8.06 ea (229 g),,740.0,,24 g,14 g,0 g,130 mg,520 mg,119 g,2 g,56 g,,12 g,0.94 µg,231.31 µg,1.42 mg,269.76 mg,4.76 mg,183.11 mg,31,72,,43,23,43,8,112,,24,5,26,2,21,26,4,4024
,,560.0,,53 g,19 g,0 g,95 mg,840 mg,3 g,0 g,2 g,,18 g,0.53 µg,77.32 µg,1.8 mg,106.04 mg,0.55 mg,265.61 mg,68,96,,32,36,1,0,4,,35,3,9,2,8,3,6,4462
118 g,,120.0,,3.5 g,0.5 g,0 g,0 mg,40 mg,20 g,2 g,0 g,,2 g,0.0 µg,0.01 µg,22.34 mg,13.84 mg,0.94 mg,482.57 mg,4,3,,0,2,7,9,2,,5,0,0,25,1,5,10,4448
503 g,,1070.0,,30 g,2.5 g,0 g,0 mg,2360 mg,178 g,16 g,6 g,,32 g,0.4 µg,27.51 µg,9.46 mg,248.18 mg,10.92 mg,769.59 mg,38,13,,0,102,65,56,12,,63,2,3,11,19,61,16,4465
257 g,,340.0,,18 g,3 g,0 g,65 mg,810 mg,25 g,3 g,2 g,,21 g,0.26 µg,129.66 µg,10.64 mg,57.57 mg,1.95 mg,526.64 mg,23,15,,22,35,9,9,5,,42,1,14,12,4,11,11,4464
155 g,,210.0,,8 g,1 g,0 g,0 mg,70 mg,31 g,4 g,5 g,,5 g,0.0 µg,155.34 µg,5.56 mg,40.52 mg,1.6 mg,343.08 mg,10,6,,0,3,11,15,10,,10,0,17,6,3,9,7,4447
170 g,,440.0,,24 g,8 g,0 g,0 mg,740 mg,34 g,5 g,3 g,,26 g,0.0 µg,0.0 µg,53.99 mg,99.59 mg,1.43 mg,0.0 mg,31,43,,0,32,12,18,6,,52,0,0,60,8,8,0,4467
477 g,,770.0,,51 g,10 g,0 g,125 mg,820 mg,62 g,10 g,12 g,,19 g,0.86 µg,102.13 µg,18.75 mg,303.18 mg,6.11 mg,868.38 mg,66,48,,41,36,22,35,25,,38,4,11,21,23,34,18,4476
1.55 ea (44 g),,180.0,,7 g,4 g,0 g,30 mg,10 mg,28 g,0 g,14 g,,2 g,0.08 µg,57.13 µg,0.06 mg,6.67 mg,0.92 mg,72.61 mg,9,20,,9,0,10,2,28,,5,0,6,0,1,5,2,4469
128 g,,150.0,,5 g,0.5 g,0 g,0 mg,30 mg,23 g,2 g,3 g,,4 g,0.0 µg,32.78 µg,9.84 mg,16.9 mg,1.13 mg,228.04 mg,7,4,,0,1,8,6,5,,8,0,4,11,1,6,5,4468
,,310.0,,13 g,8 g,0 g,50 mg,95 mg,43 g,0 g,31 g,,3 g,0.16 µg,97.39 µg,1.23 mg,31.8 mg,1.18 mg,116.21 mg,17,39,,17,4,16,3,61,,6,1,11,1,2,7,2,4470
92 g,,240.0,,9 g,2.5 g,0 g,150 mg,270 mg,31 g,1 g,12 g,,8 g,0.0 µg,17.92 µg,0.0 mg,43.7 mg,1.79 mg,0.86 mg,11,14,,49,12,11,5,23,,17,0,2,0,3,10,0,4137
,,120.0,,7 g,1 g,0 g,0 mg,450 mg,13 g,2 g,0 g,,2 g,0.0 µg,3.18 µg,15.92 mg,10.19 mg,0.7 mg,325.95 mg,9,5,,0,19,5,6,1,,3,0,0,18,1,4,7,4471
1.03 cup (29 g),,170.0,,18 g,2.5 g,0 g,0 mg,10 mg,0 g,0 g,0 g,,0 g,0.0 µg,0.48 µg,0.29 mg,3.8 mg,0.22 mg,8.32 mg,24,13,,0,1,0,0,1,,0,0,0,0,0,1,0,4478
1.61 cup (46 g),,320.0,,35 g,5 g,0 g,0 mg,15 mg,1 g,0 g,0 g,,0 g,0.0 µg,0.06 µg,3.04 mg,2.33 mg,0.24 mg,14.56 mg,46,25,,0,1,0,0,1,,0,0,0,3,0,1,0,4479
142 g,,210.0,,1 g,0 g,0 g,0 mg,20 mg,42 g,2 g,2 g,,7 g,0.0 µg,0.0 µg,0.0 mg,13.53 mg,1.86 mg,126.34 mg,1,1,,0,1,15,6,3,,15,0,0,0,1,10,3,4481
176 g,,280.0,,6 g,1 g,0 g,0 mg,370 mg,54 g,4 g,27 g,,6 g,0.0 µg,1.64 µg,2.46 mg,82.51 mg,2.13 mg,131.84 mg,8,6,,0,16,19,13,54,,12,0,0,3,6,12,3,4480
331 g,,450.0,,23 g,4.5 g,0 g,70 mg,980 mg,40 g,6 g,8 g,,25 g,0.6 µg,143.69 µg,34.16 mg,181.98 mg,4.34 mg,798.21 mg,29,22,,23,43,15,23,16,,50,3,16,38,14,24,17,4482
,,180.0,,14 g,4 g,0 g,10 mg,180 mg,10 g,1 g,8 g,,4 g,0.07 µg,122.68 µg,5.31 mg,100.4 mg,0.57 mg,151.76 mg,18,20,,4,8,4,4,16,,7,0,14,6,8,3,3,4487
5.08 cup (144 g),,250.0,,18 g,2.5 g,0 g,0 mg,15 mg,21 g,3 g,1 g,,3 g,0.0 µg,2.3 µg,23.18 mg,17.19 mg,1.3 mg,512.5 mg,23,13,,0,1,7,9,2,,5,0,0,26,1,7,11,4488
226 g,,230.0,,11 g,4 g,0 g,55 mg,85 mg,17 g,2 g,13 g,,17 g,0.7 µg,25.56 µg,21.58 mg,34.4 mg,0.95 mg,334.19 mg,14,21,,19,4,6,7,26,,34,4,3,24,3,5,7,4489
143 g,,120.0,,2 g,0 g,0 g,0 mg,35 mg,23 g,3 g,2 g,,3 g,0.0 µg,4.35 µg,24.37 mg,34.56 mg,1.06 mg,553.68 mg,3,2,,0,2,8,11,5,,6,0,0,27,3,6,12,4495
393 g,,320.0,,6 g,3.5 g,0 g,20 mg,35 mg,65 g,4 g,56 g,,6 g,0.0 µg,65.79 µg,119.39 mg,93.18 mg,0.9 mg,586.4 mg,7,18,,6,1,24,14,113,,13,0,7,133,7,5,12,4496
,,410.0,,26 g,4 g,0 g,0 mg,200 mg,24 g,11 g,11 g,,31 g,0.15 µg,1161.84 µg,98.11 mg,816.5 mg,11.51 mg,2328.23 mg,33,20,,0,9,9,40,21,,63,1,129,109,63,64,50,4494
3.86 ea (109 g),,280.0,,22 g,3 g,0 g,0 mg,25 mg,19 g,2 g,2 g,,3 g,0.0 µg,80.01 µg,10.41 mg,35.12 mg,1.43 mg,214.12 mg,28,15,,0,1,7,8,4,,7,0,9,12,3,8,5,4491
7.24 ea (177 g),,280.0,,18 g,4.5 g,0 g,15 mg,510 mg,19 g,4 g,2 g,,10 g,0.11 µg,565.44 µg,5.86 mg,230.08 mg,2.28 mg,363.52 mg,23,23,,6,22,7,13,4,,19,1,63,7,18,13,8,4490
227 g,,310.0,,4.5 g,0.5 g,0 g,0 mg,55 mg,57 g,4 g,4 g,,10 g,0.0 µg,15.07 µg,9.94 mg,46.67 mg,2.79 mg,312.62 mg,6,3,,0,2,21,14,8,,20,0,2,11,4,16,7,4492
283 g,,740.0,,31 g,7 g,0 g,30 mg,510 mg,71 g,4 g,5 g,,24 g,0.03 µg,119.54 µg,10.98 mg,55.07 mg,4.84 mg,376.08 mg,40,33,,10,22,26,16,11,,47,0,13,12,4,27,8,4493
7.24 ea (177 g),,280.0,,18 g,4.5 g,0 g,15 mg,510 mg,19 g,4 g,2 g,,10 g,0.11 µg,565.44 µg,5.86 mg,230.08 mg,2.28 mg,363.52 mg,23,23,,6,22,7,13,4,,19,1,63,7,18,13,8,4520
,,320.0,,10 g,6 g,0 g,65 mg,190 mg,55 g,2 g,28 g,,5 g,0.31 µg,90.58 µg,1.04 mg,53.88 mg,2.06 mg,113.35 mg,13,28,,22,8,20,6,55,,10,2,10,1,4,11,2,4499
,,200.0,,18 g,1.5 g,0 g,0 mg,740 mg,0 g,0 g,0 g,,8 g,0.0 µg,6.53 µg,1.54 mg,472.44 mg,1.05 mg,18.13 mg,23,8,,0,32,0,1,0,,16,0,1,2,36,6,0,4498
4.85 ea (138 g),,410.0,,16 g,2.5 g,0 g,0 mg,180 mg,64 g,3 g,35 g,,5 g,0.25 µg,0.5 µg,5.73 mg,92.28 mg,1.84 mg,161.52 mg,20,13,,0,8,23,12,70,,10,1,0,6,7,10,3,4521
114 g,,140.0,,5 g,0.5 g,0 g,0 mg,25 mg,21 g,3 g,0 g,,3 g,0.0 µg,6.16 µg,21.82 mg,26.68 mg,1.13 mg,475.71 mg,7,4,,0,1,8,9,2,,5,0,1,24,2,6,10,4446
,,170.0,,3.5 g,1 g,0 g,0 mg,50 mg,31 g,1 g,9 g,,5 g,0.7 µg,110.15 µg,4.83 mg,91.29 mg,1.57 mg,137.93 mg,4,4,,0,2,11,5,17,,11,4,12,5,7,9,3,4502
183 g,,270.0,,12 g,4 g,0 g,105 mg,290 mg,6 g,1 g,4 g,,31 g,0.07 µg,52.25 µg,10.21 mg,114.76 mg,1.12 mg,565.43 mg,16,21,,35,13,2,5,7,,62,0,6,11,9,6,12,4445
138 g,,160.0,,13 g,2 g,0 g,0 mg,35 mg,12 g,3 g,4 g,,2 g,0.0 µg,33.73 µg,9.55 mg,54.05 mg,0.94 mg,239.42 mg,17,9,,0,1,4,10,9,,4,0,4,11,4,5,5,4500
,,410.0,,17 g,8 g,0 g,25 mg,180 mg,65 g,2 g,40 g,,2 g,0.0 µg,78.68 µg,0.11 mg,25.68 mg,0.64 mg,77.44 mg,22,39,,8,8,24,7,81,,5,0,9,0,2,4,2,4501
,,110.0,,5 g,2.5 g,0 g,10 mg,310 mg,10 g,2 g,1 g,,8 g,0.07 µg,298.1 µg,37.42 mg,240.27 mg,1.26 mg,317.37 mg,6,13,,3,13,4,8,3,,16,0,33,42,18,7,7,4545
,,140.0,,15 g,2.5 g,0 g,10 mg,140 mg,0 g,0 g,0 g,,0 g,0.04 µg,3.93 µg,0.32 mg,10.4 mg,0.06 mg,17.68 mg,20,13,,3,6,0,0,1,,1,0,0,0,1,0,0,4537
177 g,,380.0,,18 g,11 g,0 g,125 mg,420 mg,33 g,2 g,3 g,,21 g,0.32 µg,339.17 µg,8.92 mg,393.12 mg,2.28 mg,340.92 mg,23,53,,42,18,12,7,6,,42,2,38,10,30,13,7,4503
3.5 ea (99 g),,320.0,,17 g,4 g,0 g,85 mg,430 mg,40 g,0 g,27 g,,4 g,0.52 µg,202.44 µg,0.75 mg,67.09 mg,1.76 mg,92.65 mg,21,20,,28,19,15,3,55,,8,3,22,1,5,10,2,4504
,,230.0,,9 g,1.5 g,0 g,0 mg,350 mg,29 g,8 g,6 g,,9 g,0.0 µg,115.37 µg,82.2 mg,109.74 mg,3.97 mg,907.58 mg,12,7,,0,15,11,30,13,,18,0,13,91,8,22,19,4506
3.35 ea (95 g),,110.0,,2.5 g,0.5 g,0 g,0 mg,10 mg,20 g,3 g,3 g,,4 g,0.0 µg,103.67 µg,15.18 mg,19.63 mg,0.7 mg,176.07 mg,3,4,,0,0,7,11,7,,7,0,12,17,2,4,4,4505
3.04 ea (86 g),,300.0,,19 g,9 g,0 g,75 mg,180 mg,30 g,2 g,16 g,,5 g,0.28 µg,272.9 µg,1.12 mg,53.07 mg,1.2 mg,123.55 mg,24,46,,25,8,11,6,33,,9,1,30,1,4,7,3,4507
,,280.0,,10 g,4.5 g,0 g,125 mg,300 mg,39 g,2 g,22 g,,10 g,1.47 µg,84.24 µg,0.12 mg,159.53 mg,2.09 mg,170.15 mg,12,23,,41,13,14,6,43,,20,7,9,0,12,12,4,4546
,,100.0,,5 g,1 g,0 g,0 mg,80 mg,10 g,4 g,3 g,,7 g,0.08 µg,273.05 µg,48.2 mg,140.79 mg,3.02 mg,623.05 mg,7,4,,0,4,4,14,7,,13,0,30,54,11,17,13,4548
,,120.0,,1.5 g,0 g,0 g,0 mg,85 mg,27 g,0 g,15 g,,1 g,0.49 µg,0.0 µg,4.86 mg,1.65 mg,2.95 mg,28.28 mg,2,2,,0,4,10,1,31,,2,2,0,5,0,16,1,4540
242 g,,540.0,,27 g,6 g,0 g,40 mg,960 mg,47 g,4 g,7 g,,31 g,0.24 µg,74.61 µg,8.93 mg,304.58 mg,3.8 mg,232.44 mg,35,30,,14,42,17,15,15,,62,1,8,10,23,21,5,4539
344 g,,930.0,,70 g,10 g,0 g,10 mg,790 mg,63 g,6 g,13 g,,17 g,0.28 µg,83.25 µg,33.44 mg,234.92 mg,6.54 mg,544.07 mg,90,52,,3,34,23,20,25,,33,1,9,37,18,36,12,4547
2.95 ea (84 g),,190.0,,5 g,1 g,0 g,0 mg,50 mg,30 g,2 g,1 g,,5 g,0.0 µg,10.48 µg,35.81 mg,24.07 mg,1.71 mg,171.1 mg,7,4,,0,2,11,7,2,,10,0,1,40,2,10,4,4524
167 g,,690.0,,40 g,6 g,0 g,0 mg,240 mg,65 g,3 g,4 g,,15 g,0.0 µg,31.25 µg,2.0 mg,135.0 mg,3.27 mg,395.39 mg,51,31,,0,10,24,12,9,,29,0,3,2,10,18,8,4527
,,200.0,,8 g,4.5 g,0 g,30 mg,80 mg,30 g,1 g,12 g,,3 g,0.0 µg,142.99 µg,0.49 mg,43.31 mg,1.35 mg,50.17 mg,10,22,,10,3,11,4,24,,6,0,16,1,3,8,1,4525
8 ea (227 g),,250.0,,4 g,0.5 g,0 g,0 mg,55 mg,46 g,3 g,4 g,,8 g,0.0 µg,15.07 µg,9.94 mg,61.34 mg,2.32 mg,284.95 mg,5,3,,0,2,17,12,7,,16,0,2,11,5,13,6,4526
3.5 ea (99 g),,360.0,,14 g,6 g,0 g,25 mg,220 mg,54 g,2 g,24 g,,6 g,0.03 µg,175.36 µg,0.77 mg,58.82 mg,2.55 mg,161.03 mg,17,31,,8,9,20,9,47,,11,0,19,1,5,14,3,4530
,,70.0,,3.5 g,0 g,0 g,0 mg,75 mg,6 g,1 g,2 g,,5 g,0.0 µg,15.21 µg,5.53 mg,24.86 mg,0.56 mg,164.24 mg,4,1,,0,3,2,4,5,,10,0,2,6,2,3,3,4529
153 g,,360.0,,24 g,11 g,0 g,270 mg,200 mg,24 g,1 g,10 g,,12 g,0.24 µg,118.28 µg,0.06 mg,105.94 mg,1.74 mg,114.67 mg,31,55,,90,9,9,4,21,,24,1,13,0,8,10,2,4531
,,610.0,,40 g,16 g,0 g,0 mg,1530 mg,59 g,2 g,4 g,,9 g,0.0 µg,0.0 µg,0.0 mg,653.34 mg,28.02 mg,0.0 mg,52,80,,0,67,22,6,9,,17,0,0,0,50,156,0,4541
1.48 ea (42 g),,160.0,,5 g,1.5 g,0 g,0 mg,90 mg,27 g,0 g,15 g,,1 g,0.0 µg,0.01 µg,0.0 mg,21.32 mg,1.11 mg,136.17 mg,7,7,,0,4,10,1,31,,3,0,0,0,2,6,3,4542
,,690.0,,40 g,6 g,0 g,0 mg,240 mg,65 g,3 g,4 g,,15 g,0.0 µg,31.25 µg,2.0 mg,135.0 mg,3.27 mg,395.39 mg,51,31,,0,10,24,12,9,,29,0,3,2,10,18,8,4550
